GEOID,x,y,area,OBJECTID_1,GEOID20,COUNTYFP20,CVAP_TOT20,CVAP_NHS20,CVAP_AIA20,CVAP_ASN20,CVAP_BLK20,CVAP_NHP20,CVAP_WHT20,CVAP_AIW20,CVAP_ASW20,CVAP_BLW20,CVAP_AIB20,CVAP_2OM20,CVAP_HSP20,C_TOT20,C_NHS20,C_AIA20,C_ASN20,C_BLK20,C_NHP20,C_WHT20,C_AIW20,C_ASW20,C_BLW20,C_AIB20,C_2OM20,C_HSP20,OBJECTID,STATEFP20,COUNTYFP_1,TRACTCE20,BLOCKCE20,GEOID20_1,NAME20,INTPTLAT20,INTPTLON20,G_ID,MCD_NAME,VTD,TOTAL_ADJ,WHITE_ADJ,BLACK_ADJ,AMIND_ADJ,ASIAN_ADJ,HWN_ADJ,MULTI_ADJ,OTHER_ADJ,UNKNOWN_AD,HISP_ADJ,NHISP_ADJ,NHWHITE_AD,NHBLACK_AD,NHAMIND_AD,NHASIAN_AD,NHHWN_ADJ,NHMULTI_AD,NHOTHER_AD,UNKNOWN_ET,TOTAL_VAP_,WHITE_VAP_,BLACK_VAP_,AMIND_VAP_,ASIAN_VAP_,HWN_VAP_AD,MULTI_VAP_,OTHER_VAP_,UNKNOWN_VA,HISP_VAP_A,NHISP_VAP_,NHWHITE_VA,NHBLACK_VA,NHAMIND_VA,NHASIAN_VA,NHHWN_VAP_,NHMULTI_VA,NHOTHER_VA,UNKNOWN__1,DistNeighb,DistCurren,Commission,Council,p0010001,p0010003,p0010004,p0010005,p0010006,p0010007,p0010008,p0010009,p0020002,NbdAlt2,Council2,DIST2000,BlkGrp,nbhdname,Shape_Leng,Shape_Area
360290001101000,1085634.5978461213,279279.08880533505,0.16050503698095853,351,360290001101000,29.0,47.06,35.46,0.0,0.0,0.0,0.0,36.47,0.0,0.0,0.0,0.0,0.0,7.0,61.92,42.31,1.09,0.0,0.0,0.0,45.17,0.0,0.0,0.0,0.0,0.0,12.86,1865,36,29,110,1000,360290001101000,Block 1000,42.8390946,-78.8281458,G360290001101000,Buffalo city,364,77,67,0,1,2,0,7,0,0,6,71,64,0,1,1,0,5,0,0,58,49,0,1,1,0,7,0,0,3,55,49,0,1,0,0,5,0,0,N-D7,SOUTH,SOUTH,SOUTH,77.0,67.0,0.0,1.0,2.0,0.0,0.0,7.0,6.0,South,SOUTH,South,360290001101,Hopkins-Tifft,6171.2893139123635,1720486.807969171
360290001101001,1085689.5581239006,278833.99172835815,0.14899053011264943,411,360290001101001,29.0,46.25,36.11,0.0,0.0,0.0,0.0,31.26,0.0,0.0,0.0,0.0,0.0,2.33,53.08,35.76,0.36,0.0,0.0,0.0,29.64,0.0,0.0,0.0,0.0,0.0,12.86,2028,36,29,110,1001,360290001101001,Block 1001,42.8350687,-78.8279367,G360290001101001,Buffalo city,364,66,47,11,1,0,0,6,1,0,6,60,42,11,1,0,0,5,1,0,57,42,10,1,0,0,3,1,0,1,56,42,10,1,0,0,2,1,0,N-D7,SOUTH,SOUTH,SOUTH,66.0,47.0,11.0,1.0,0.0,0.0,1.0,6.0,6.0,South,SOUTH,South,360290001101,Hopkins-Tifft,9311.959972573011,1597063.4838603092
360290001101002,1085619.7469939522,278924.2960838698,0.011568925885329285,2186,360290001101002,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,36,29,110,1002,360290001101002,Block 1002,42.83593,-78.8286926,G360290001101002,Buffalo city,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N-D7,SOUTH,SOUTH,SOUTH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South,SOUTH,South,360290001101,Hopkins-Tifft,1452.248859603813,124010.13773577448
360290001101003,1085668.2191010108,279124.734265203,0.05907008500521064,1320,360290001101003,29.0,101.43,77.37,0.0,0.0,0.0,0.0,78.9,0.0,0.0,0.0,0.0,0.0,11.67,127.87,83.43,0.0,0.0,0.0,0.0,83.98,0.0,0.0,0.0,0.0,0.0,40.71,2750,36,29,110,1003,360290001101003,Block 1003,42.8376874,-78.8278962,G360290001101003,Buffalo city,364,159,123,22,0,1,0,12,1,0,19,140,119,20,0,0,0,0,1,0,125,106,15,0,1,0,2,1,0,5,120,106,13,0,0,0,0,1,0,N-D7,SOUTH,SOUTH,SOUTH,159.0,123.0,22.0,0.0,1.0,0.0,1.0,12.0,19.0,South,SOUTH,South,360290001101,Hopkins-Tifft,5052.8292652288055,633184.9830825214
360290001101004,1085868.7527204677,279048.6381677796,0.025441709586768047,3066,360290001101004,29.0,97.37,61.25,0.0,0.0,0.0,0.0,58.06,0.0,0.0,0.0,0.0,0.0,58.33,131.89,77.47,1.82,0.0,0.0,0.0,72.69,0.0,0.0,0.0,0.0,0.0,72.86,1179,36,29,110,1004,360290001101004,Block 1004,42.8368539,-78.8255356,G360290001101004,Buffalo city,364,165,111,23,1,1,0,15,14,0,34,131,104,15,1,1,0,10,0,0,121,83,17,1,1,0,11,8,0,25,96,79,9,1,1,0,6,0,0,N-D7,SOUTH,SOUTH,SOUTH,164.0,110.0,23.0,1.0,1.0,0.0,14.0,15.0,34.0,South,SOUTH,South,360290001101,Hopkins-Tifft,2427.7769582624564,272714.1639612924
360290001101005,1085881.2652641246,278878.0104336625,0.07044198077852643,2648,360290001101005,29.0,77.89,54.81,0.0,0.0,0.0,0.0,60.29,0.0,0.0,0.0,0.0,0.0,25.67,85.23999999999998,56.02,0.73,0.0,0.0,0.0,63.52,0.0,0.0,0.0,0.0,0.0,25.71,147,36,29,110,1005,360290001101005,Block 1005,42.835317,-78.8255596,G360290001101005,Buffalo city,364,106,95,4,1,0,0,3,3,0,12,94,90,1,1,0,0,2,0,0,96,86,4,1,0,0,2,3,0,11,85,81,1,1,0,0,2,0,0,N-D7,SOUTH,SOUTH,SOUTH,106.0,95.0,4.0,1.0,0.0,0.0,3.0,3.0,12.0,South,SOUTH,South,360290001101,Hopkins-Tifft,3480.5981061855396,755080.8630775196
360290001101006,1085590.8522659973,278614.06719943427,0.19905251032640217,460,360290001101006,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2435,36,29,110,1006,360290001101006,Block 1006,42.833175,-78.8293642,G360290001101006,Buffalo city,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N-D7,SOUTH,SOUTH,SOUTH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South,SOUTH,South,360290001101,Hopkins-Tifft,7580.692921112944,2133699.05580732
360290001102000,1085595.8075323643,279888.3042551587,0.06601002965591954,1645,360290001102000,29.0,204.17,150.27,0.0,0.0,19.23,0.0,130.71,0.0,0.0,9.23,0.0,0.0,51.31,282.27,191.94,0.0,0.0,37.72,0.0,155.61,0.0,0.0,10.37,0.0,0.0,86.18,2733,36,29,110,2000,360290001102000,Block 2000,42.8445774,-78.8279888,G360290001102000,Buffalo city,354,306,225,35,0,4,0,30,11,1,49,257,209,30,0,4,0,14,0,0,247,191,21,0,4,0,19,11,1,30,217,184,21,0,4,0,8,0,0,N-D7,SOUTH,SOUTH,SOUTH,304.0,224.0,35.0,0.0,4.0,0.0,11.0,30.0,48.0,South,SOUTH,South,360290001102,Hopkins-Tifft,5231.995114483258,707572.0038053324
360290001102001,1085598.0165819593,279797.89779987815,0.061416147677080014,1013,360290001102001,29.0,199.17,144.71,0.0,0.0,16.15,0.0,131.43,0.0,0.0,11.54,0.0,0.0,54.85,296.2,186.69,0.0,0.0,29.56,0.0,162.34,0.0,0.0,14.81,0.0,0.0,125.68,884,36,29,110,2001,360290001102001,Block 2001,42.8437665,-78.8280552,G360290001102001,Buffalo city,354,319,237,30,0,0,0,25,27,0,70,249,217,19,0,0,0,12,1,0,239,188,18,0,0,0,14,19,0,31,208,184,16,0,0,0,7,1,0,N-D7,SOUTH,SOUTH,SOUTH,319.0,237.0,30.0,0.0,0.0,0.0,27.0,25.0,70.0,South,SOUTH,South,360290001102,Hopkins-Tifft,5182.718807166086,658330.1193477369
360290001102002,1085605.8753956533,279709.5465050438,0.0636647383711675,1319,360290001102002,29.0,153.33,101.57,0.0,0.0,6.15,0.0,95.0,0.0,0.0,0.0,0.0,0.0,67.23,224.7,144.7,0.0,0.0,14.27,0.0,130.17,0.0,0.0,2.96,0.0,0.0,87.98,2735,36,29,110,2002,360290001102002,Block 2002,42.8429697,-78.8280508,G360290001102002,Buffalo city,354,242,187,12,4,3,0,16,20,0,49,193,174,12,2,3,0,2,0,0,184,141,8,4,3,0,9,19,0,38,146,133,8,2,3,0,0,0,0,N-D7,SOUTH,SOUTH,SOUTH,242.0,187.0,12.0,4.0,3.0,0.0,20.0,16.0,49.0,South,SOUTH,South,360290001102,Hopkins-Tifft,5216.954531569705,682433.5693045856
