GEOID,x,y,area,population,p_public_transportation_commute,p_walk_commute,mean_commute_time,p_bachelors_degree_or_higher,unemployment_rate,p_GRAPI<15%,p_GRAPI>35%,p_without_health_insurance,p_vacant_housing_units,p_renter_occupied,median_household_income,p_SNAP_benefits,p_below_poverty_line,p_white,p_age_students,median_age,p_mobile_homes,p_without_person_vehicle,p_veterans
37001000001,1088939.6294676415,-493414.450513105,131.3895221196347,,,,,,,,,,,,,,,,,,,,
37001000002,1088275.2886887714,-482717.2544984236,79.1505581581023,,,,,,,,,,,,,,,,,,,,
37001000004,1086765.5855196456,-461010.82020702865,95.94856437387944,,,,,,,,,,,,,,,,,,,,
37001000005,1094351.2620299042,-461722.32869539235,92.28536796914548,,,,,,,,,,,,,,,,,,,,
37001000007,1097064.856371734,-484037.87482626684,55.60446048743298,,,,,,,,,,,,,,,,,,,,
37001000011,1102323.5563148968,-460424.3430189729,115.1128645321367,,,,,,,,,,,,,,,,,,,,
37001000013,1100043.8790652116,-470048.8387546866,37.82306085295647,,,,,,,,,,,,,,,,,,,,
37001000035,1085615.589756235,-468490.9524513306,27.460084985027912,,,,,,,,,,,,,,,,,,,,
3700100003C,1087149.540202871,-472385.9278101839,5.3106224929224926,,,,,,,,,,,,,,,,,,,,
3700100003N,1085386.9075878372,-472450.1361442633,5.039500499849075,,,,,,,,,,,,,,,,,,,,
3700100003S,1085605.7981834703,-476094.2278984155,22.89300554280902,,,,,,,,,,,,,,,,,,,,
3700100003W,1083313.4330912598,-471143.37659289833,6.115066542251417,,,,,,,,,,,,,,,,,,,,
37001000063,1095654.3106400736,-471060.02130105067,6.2099668589009624,,,,,,,,,,,,,,,,,,,,
37001000064,1094268.006209906,-477832.6922981289,17.011953676805,,,,,,,,,,,,,,,,,,,,
3700100006E,1096792.6648428284,-474166.01766930067,6.910157512400071,,,,,,,,,,,,,,,,,,,,
3700100006N,1095541.0387504061,-473417.3103755286,4.256317263289486,,,,,,,,,,,,,,,,,,,,
3700100006S,1097506.4702499534,-477137.94495127944,13.342837875668263,,,,,,,,,,,,,,,,,,,,
3700100006W,1093670.6647999666,-474353.8212054139,1.9786347251435858,,,,,,,,,,,,,,,,,,,,
3700100008N,1100830.6914852278,-490991.9408869614,88.14753661038554,,,,,,,,,,,,,,,,,,,,
3700100008S,1102089.2869058622,-496522.8557627426,84.52875345614757,,,,,,,,,,,,,,,,,,,,
3700100009N,1101344.2691560397,-479281.2944175443,14.855367132346665,,,,,,,,,,,,,,,,,,,,
3700100009S,1105384.4706014069,-483876.67181599716,76.407990752847,,,,,,,,,,,,,,,,,,,,
37001000103,1103210.3053172715,-475835.19448795955,30.9884995854244,,,,,,,,,,,,,,,,,,,,
3700100010N,1105190.3988073682,-468821.3643826148,20.998780775454403,,,,,,,,,,,,,,,,,,,,
3700100010S,1105162.9565800992,-472658.2072855187,22.39286530632275,,,,,,,,,,,,,,,,,,,,
37001000124,1089243.3046025406,-471216.17884902307,2.584381888225098,,,,,,,,,,,,,,,,,,,,
37001000125,1089197.3863262134,-474277.9273696201,3.34806766694578,,,,,,,,,,,,,,,,,,,,
37001000126,1089186.3162312866,-472769.75323152816,3.1180902344053996,,,,,,,,,,,,,,,,,,,,
37001000127,1091021.8388699305,-469004.54315492604,14.267249143047854,,,,,,,,,,,,,,,,,,,,
37001000128,1091580.2761847053,-473278.08915485034,3.312780848996493,,,,,,,,,,,,,,,,,,,,
37001000129,1090189.1485560087,-477084.4413524362,16.695186909286104,,,,,,,,,,,,,,,,,,,,
3700100012E,1093584.2779029352,-472131.1866861651,2.8967241178578442,,,,,,,,,,,,,,,,,,,,
3700100012N,1093427.1636190305,-470266.55655818444,7.176170557060754,,,,,,,,,,,,,,,,,,,,
3700100012S,1092963.3899176838,-473625.6007535582,2.442480615328004,,,,,,,,,,,,,,,,,,,,
3700100012W,1090891.9401664985,-472004.6378129549,2.631544738701457,,,,,,,,,,,,,,,,,,,,
