GEOID,District0,District1,District2,District3,District4
01001020100,2.0,19.0,36.0,46.0,50.0
01001020200,2.0,19.0,36.0,39.0,50.0
01001020300,2.0,19.0,36.0,39.0,50.0
01001020400,2.0,19.0,36.0,39.0,50.0
01001020501,2.0,19.0,36.0,39.0,50.0
01001020502,2.0,19.0,36.0,39.0,50.0
01001020503,2.0,19.0,36.0,39.0,50.0
01001020600,2.0,19.0,36.0,39.0,50.0
01001020700,2.0,19.0,36.0,39.0,50.0
01001020801,2.0,19.0,36.0,46.0,50.0
01001020803,2.0,19.0,36.0,39.0,50.0
01001020804,2.0,19.0,36.0,39.0,50.0
01001020805,2.0,19.0,36.0,39.0,50.0
01001020901,2.0,19.0,36.0,39.0,50.0
01001020902,2.0,19.0,36.0,39.0,50.0
01001021000,2.0,19.0,36.0,39.0,50.0
01001021100,2.0,19.0,36.0,39.0,49.0
01003010100,10.0,13.0,30.0,45.0,51.0
01003010200,9.0,13.0,30.0,45.0,51.0
01003010300,10.0,13.0,30.0,45.0,51.0
01003010400,9.0,13.0,30.0,45.0,51.0
01003010500,10.0,13.0,30.0,45.0,51.0
01003010600,10.0,13.0,30.0,45.0,51.0
01003010704,10.0,13.0,30.0,45.0,51.0
01003010706,10.0,13.0,30.0,45.0,51.0
01003010707,10.0,13.0,30.0,45.0,51.0
01003010708,10.0,13.0,30.0,45.0,51.0
01003010709,10.0,13.0,30.0,45.0,51.0
01003010710,10.0,13.0,30.0,45.0,51.0
01003010711,10.0,13.0,30.0,45.0,51.0
01003010800,10.0,13.0,30.0,45.0,51.0
01003010903,10.0,13.0,30.0,45.0,51.0
01003010904,9.0,13.0,30.0,45.0,51.0
01003010906,10.0,13.0,30.0,45.0,51.0
01003010907,10.0,13.0,30.0,45.0,51.0
01003010908,10.0,13.0,30.0,45.0,51.0
01003011000,9.0,13.0,30.0,45.0,51.0
01003011102,10.0,13.0,30.0,45.0,51.0
01003011103,10.0,13.0,30.0,45.0,51.0
01003011104,10.0,13.0,30.0,45.0,51.0
01003011201,10.0,13.0,30.0,45.0,51.0
