GEOID,District0,District1,District2,District3,District4
01001020100,10.0,29.0,45.0,46.0,77.0
01001020200,10.0,29.0,41.0,46.0,77.0
01001020300,10.0,29.0,41.0,46.0,77.0
01001020400,10.0,29.0,41.0,46.0,77.0
01001020501,10.0,29.0,41.0,46.0,77.0
01001020502,10.0,29.0,41.0,46.0,77.0
01001020503,10.0,29.0,41.0,46.0,77.0
01001020600,10.0,29.0,45.0,46.0,77.0
01001020700,10.0,29.0,41.0,46.0,77.0
01001020801,10.0,29.0,45.0,46.0,77.0
01001020803,10.0,29.0,45.0,46.0,77.0
01001020804,10.0,29.0,45.0,46.0,77.0
01001020805,10.0,29.0,41.0,46.0,77.0
01001020901,10.0,29.0,45.0,46.0,77.0
01001020902,10.0,29.0,45.0,46.0,77.0
01001021000,10.0,29.0,45.0,46.0,77.0
01001021100,10.0,29.0,45.0,46.0,77.0
01003010100,0.0,28.0,45.0,57.0,74.0
01003010200,0.0,28.0,45.0,57.0,74.0
01003010300,0.0,28.0,44.0,57.0,74.0
01003010400,0.0,28.0,45.0,57.0,74.0
01003010500,0.0,28.0,44.0,57.0,74.0
01003010600,0.0,28.0,44.0,57.0,74.0
01003010704,0.0,28.0,44.0,57.0,74.0
01003010706,0.0,28.0,44.0,57.0,74.0
01003010707,0.0,28.0,44.0,57.0,74.0
01003010708,0.0,28.0,44.0,57.0,74.0
01003010709,0.0,28.0,44.0,57.0,74.0
01003010710,0.0,28.0,44.0,57.0,74.0
01003010711,0.0,28.0,44.0,57.0,74.0
01003010800,0.0,28.0,44.0,57.0,74.0
01003010903,0.0,28.0,45.0,57.0,74.0
01003010904,0.0,28.0,45.0,57.0,74.0
01003010906,0.0,28.0,45.0,57.0,74.0
01003010907,0.0,28.0,44.0,57.0,74.0
01003010908,0.0,28.0,45.0,57.0,74.0
01003011000,0.0,28.0,45.0,57.0,74.0
01003011102,0.0,28.0,44.0,57.0,74.0
01003011103,0.0,28.0,44.0,57.0,74.0
01003011104,0.0,28.0,44.0,57.0,74.0
01003011201,0.0,28.0,44.0,57.0,74.0
01003011202,0.0,28.0,44.0,57.0,74.0
01003011300,0.0,28.0,44.0,57.0,74.0
01003011409,0.0,28.0,45.0,57.0,74.0
01003011410,0.0,28.0,45.0,57.0,74.0
01003011411,0.0,28.0,45.0,57.0,74.0
01003011412,0.0,28.0,45.0,57.0,74.0
01003011413,0.0,28.0,45.0,57.0,74.0
01003011414,0.0,28.0,45.0,57.0,74.0
01003011415,0.0,28.0,45.0,57.0,74.0
01003011416,0.0,28.0,45.0,57.0,74.0
01003011417,0.0,28.0,45.0,57.0,74.0
01003011418,0.0,28.0,45.0,57.0,74.0
01003011419,0.0,28.0,45.0,57.0,74.0
01003011501,0.0,28.0,45.0,57.0,74.0
01003011503,0.0,28.0,45.0,57.0,74.0
01003011504,0.0,28.0,45.0,57.0,74.0
01003011601,0.0,28.0,45.0,57.0,74.0
01003011603,0.0,28.0,45.0,57.0,74.0
01003011604,0.0,28.0,45.0,57.0,74.0
01005950100,9.0,23.0,40.0,56.0,76.0
01005950200,9.0,29.0,40.0,56.0,76.0
01005950300,9.0,29.0,40.0,56.0,76.0
01005950400,9.0,29.0,40.0,56.0,76.0
01005950500,9.0,29.0,40.0,56.0,76.0
01005950600,9.0,29.0,40.0,56.0,76.0
01005950700,9.0,23.0,40.0,56.0,76.0
01005950800,9.0,23.0,40.0,56.0,76.0
01005950900,9.0,23.0,40.0,56.0,76.0
01007010001,9.0,22.0,33.0,46.0,74.0
01007010005,9.0,22.0,45.0,46.0,74.0
01007010006,9.0,22.0,45.0,46.0,74.0
01007010007,10.0,23.0,45.0,46.0,74.0
01007010008,9.0,23.0,45.0,46.0,74.0
01007010009,10.0,23.0,44.0,46.0,74.0
01007010010,10.0,23.0,44.0,46.0,74.0
01007010011,10.0,22.0,44.0,46.0,74.0
01009050103,5.0,21.0,35.0,54.0,68.0
01009050104,5.0,21.0,35.0,60.0,68.0
01009050105,1.0,21.0,34.0,60.0,68.0
01009050106,1.0,21.0,35.0,60.0,68.0
01009050107,5.0,21.0,34.0,60.0,68.0
01009050200,5.0,21.0,35.0,60.0,68.0
01009050301,1.0,21.0,35.0,60.0,68.0
01009050302,1.0,21.0,35.0,60.0,68.0
01009050400,1.0,21.0,35.0,60.0,68.0
01009050501,5.0,21.0,35.0,60.0,68.0
01009050502,5.0,21.0,35.0,60.0,68.0
01009050601,5.0,21.0,35.0,54.0,68.0
01009050603,5.0,21.0,35.0,54.0,68.0
01009050604,5.0,21.0,35.0,54.0,68.0
01009050701,5.0,21.0,35.0,54.0,67.0
01009050702,5.0,21.0,35.0,54.0,68.0
01011952100,9.0,29.0,40.0,56.0,76.0
01011952201,9.0,29.0,40.0,56.0,76.0
01011952202,9.0,29.0,40.0,56.0,76.0
01011952500,9.0,29.0,40.0,56.0,77.0
01013952700,10.0,28.0,45.0,56.0,77.0
01013952800,10.0,28.0,45.0,56.0,77.0
01013952900,10.0,28.0,45.0,56.0,77.0
01013953000,10.0,28.0,45.0,56.0,74.0
01013953100,10.0,28.0,45.0,56.0,77.0
01013953200,10.0,28.0,40.0,56.0,77.0
01013953300,10.0,28.0,45.0,56.0,77.0
01013953400,10.0,28.0,45.0,56.0,74.0
01013953500,10.0,28.0,40.0,56.0,77.0
01015000200,1.0,12.0,41.0,60.0,67.0
01015000300,1.0,12.0,41.0,60.0,67.0
01015000400,1.0,12.0,41.0,60.0,67.0
01015000500,1.0,12.0,41.0,60.0,67.0
01015000600,1.0,12.0,41.0,60.0,67.0
01015000700,1.0,12.0,41.0,60.0,67.0
01015000800,1.0,12.0,41.0,60.0,67.0
