GEOID,District0,District1,District2,District3,District4
01001020100,2.0,19.0,47.0,64.0,84.0
01001020200,2.0,19.0,47.0,64.0,84.0
01001020300,2.0,19.0,47.0,64.0,84.0
01001020400,2.0,19.0,47.0,64.0,84.0
01001020501,2.0,19.0,47.0,64.0,72.0
01001020502,2.0,19.0,48.0,64.0,72.0
01001020503,2.0,19.0,48.0,64.0,84.0
01001020600,2.0,19.0,47.0,64.0,84.0
01001020700,2.0,19.0,47.0,64.0,84.0
01001020801,2.0,19.0,47.0,64.0,84.0
01001020803,2.0,19.0,47.0,64.0,84.0
01001020804,2.0,19.0,47.0,64.0,84.0
01001020805,2.0,19.0,47.0,64.0,72.0
01001020901,2.0,19.0,47.0,64.0,72.0
01001020902,2.0,19.0,47.0,64.0,84.0
01001021000,2.0,19.0,47.0,64.0,84.0
01001021100,2.0,19.0,47.0,64.0,84.0
01003010100,1.0,14.0,47.0,65.0,84.0
01003010200,1.0,14.0,49.0,65.0,84.0
01003010300,1.0,14.0,47.0,65.0,84.0
01003010400,1.0,14.0,49.0,65.0,84.0
01003010500,1.0,14.0,49.0,65.0,84.0
01003010600,1.0,14.0,47.0,65.0,84.0
01003010704,1.0,14.0,47.0,65.0,84.0
01003010706,1.0,14.0,47.0,65.0,84.0
01003010707,1.0,14.0,47.0,65.0,84.0
01003010708,1.0,14.0,47.0,65.0,84.0
01003010709,1.0,14.0,47.0,65.0,83.0
01003010710,1.0,14.0,47.0,65.0,83.0
01003010711,1.0,14.0,47.0,65.0,83.0
01003010800,1.0,14.0,47.0,65.0,83.0
01003010903,1.0,14.0,49.0,65.0,84.0
01003010904,1.0,14.0,49.0,65.0,84.0
01003010906,1.0,14.0,49.0,65.0,84.0
01003010907,1.0,14.0,49.0,65.0,83.0
01003010908,1.0,14.0,49.0,65.0,84.0
01003011000,1.0,14.0,49.0,65.0,84.0
01003011102,1.0,14.0,49.0,65.0,83.0
01003011103,1.0,14.0,47.0,65.0,83.0
01003011104,1.0,14.0,49.0,65.0,83.0
01003011201,1.0,14.0,47.0,65.0,83.0
01003011202,1.0,14.0,47.0,65.0,83.0
