GEOID,District0,District1,District2,District3,District4
01001020100,12.0,27.0,51.0,68.0,79.0
01001020200,12.0,27.0,51.0,68.0,79.0
01001020300,12.0,27.0,51.0,68.0,79.0
01001020400,12.0,27.0,51.0,68.0,79.0
01001020501,12.0,27.0,51.0,68.0,79.0
01001020502,12.0,27.0,51.0,68.0,79.0
01001020503,12.0,27.0,51.0,68.0,79.0
01001020600,12.0,27.0,51.0,68.0,79.0
01001020700,12.0,27.0,51.0,68.0,79.0
01001020801,12.0,27.0,51.0,68.0,79.0
01001020803,12.0,27.0,51.0,68.0,79.0
01001020804,12.0,27.0,51.0,68.0,79.0
01001020805,12.0,27.0,51.0,68.0,79.0
01001020901,12.0,27.0,51.0,68.0,79.0
01001020902,12.0,27.0,51.0,68.0,79.0
01001021000,12.0,27.0,51.0,68.0,79.0
01001021100,12.0,27.0,51.0,68.0,79.0
01003010100,1.0,36.0,50.0,67.0,78.0
01003010200,1.0,36.0,50.0,66.0,78.0
01003010300,1.0,36.0,50.0,67.0,78.0
01003010400,1.0,36.0,50.0,66.0,78.0
01003010500,1.0,36.0,50.0,67.0,78.0
01003010600,1.0,36.0,50.0,67.0,78.0
01003010704,1.0,36.0,50.0,67.0,78.0
01003010706,1.0,36.0,50.0,67.0,78.0
01003010707,1.0,36.0,50.0,67.0,78.0
01003010708,1.0,36.0,50.0,67.0,78.0
01003010709,1.0,36.0,50.0,67.0,78.0
01003010710,1.0,36.0,50.0,67.0,78.0
01003010711,1.0,36.0,50.0,67.0,78.0
01003010800,1.0,36.0,50.0,67.0,78.0
01003010903,1.0,36.0,50.0,67.0,78.0
01003010904,1.0,36.0,50.0,66.0,78.0
01003010906,1.0,36.0,50.0,67.0,78.0
01003010907,1.0,36.0,50.0,67.0,78.0
01003010908,1.0,36.0,50.0,67.0,78.0
01003011000,1.0,36.0,50.0,66.0,78.0
01003011102,1.0,36.0,50.0,67.0,78.0
01003011103,1.0,36.0,50.0,67.0,78.0
01003011104,1.0,36.0,50.0,67.0,78.0
01003011201,1.0,36.0,50.0,67.0,78.0
01003011202,1.0,36.0,50.0,67.0,78.0
01003011300,1.0,36.0,50.0,67.0,78.0
01003011409,1.0,36.0,50.0,66.0,78.0
01003011410,1.0,36.0,50.0,66.0,78.0
01003011411,1.0,36.0,50.0,66.0,78.0
01003011412,1.0,36.0,50.0,66.0,78.0
01003011413,1.0,36.0,50.0,66.0,78.0
01003011414,1.0,36.0,50.0,66.0,78.0
01003011415,1.0,36.0,50.0,66.0,78.0
01003011416,1.0,36.0,50.0,66.0,78.0
01003011417,1.0,36.0,50.0,66.0,78.0
01003011418,1.0,36.0,50.0,66.0,78.0
01003011419,1.0,36.0,50.0,66.0,78.0
01003011501,1.0,36.0,50.0,66.0,78.0
01003011503,1.0,36.0,50.0,66.0,78.0
01003011504,1.0,36.0,50.0,66.0,78.0
01003011601,1.0,36.0,50.0,66.0,78.0
01003011603,1.0,36.0,50.0,66.0,78.0
01003011604,1.0,36.0,50.0,66.0,78.0
01005950100,13.0,35.0,49.0,66.0,79.0
01005950200,13.0,35.0,49.0,66.0,79.0
01005950300,13.0,35.0,49.0,66.0,79.0
01005950400,13.0,35.0,49.0,66.0,79.0
01005950500,13.0,35.0,49.0,66.0,79.0
01005950600,13.0,35.0,49.0,66.0,79.0
01005950700,13.0,35.0,49.0,66.0,79.0
01005950800,13.0,35.0,49.0,66.0,79.0
01005950900,13.0,35.0,49.0,66.0,79.0
01007010001,0.0,27.0,40.0,64.0,74.0
01007010005,0.0,27.0,40.0,64.0,74.0
01007010006,0.0,27.0,40.0,64.0,74.0
