GEOID,District0,District1
01001020100,1871.0,6019.0
01001020200,1871.0,6019.0
01001020300,1871.0,6019.0
01001020400,1871.0,6019.0
01001020501,1871.0,6019.0
01001020502,1871.0,6019.0
01001020503,1871.0,6019.0
01001020600,1871.0,6019.0
01001020700,1871.0,6019.0
01001020801,1871.0,6019.0
01001020803,1871.0,6019.0
01001020804,1871.0,6019.0
01001020805,1871.0,6019.0
01001020901,1871.0,6019.0
01001020902,1871.0,6019.0
01001021000,1871.0,6019.0
01001021100,1871.0,6019.0
01003010100,2440.0,5982.0
01003010200,2439.0,5982.0
01003010300,2440.0,5982.0
01003010400,2439.0,5982.0
01003010500,2440.0,5982.0
01003010600,2440.0,5982.0
01003010704,2440.0,5982.0
01003010706,2440.0,5982.0
01003010707,2440.0,5982.0
01003010708,2440.0,5982.0
01003010709,2440.0,5982.0
01003010710,2440.0,5982.0
01003010711,2440.0,5982.0
01003010800,2440.0,5982.0
01003010903,2439.0,5982.0
01003010904,2439.0,5982.0
01003010906,2439.0,5982.0
01003010907,2439.0,5982.0
01003010908,2439.0,5982.0
01003011000,2439.0,5982.0
01003011102,2439.0,5982.0
01003011103,2440.0,5982.0
01003011104,2439.0,5982.0
01003011201,2440.0,5982.0
01003011202,2440.0,5982.0
01003011300,2439.0,5982.0
01003011409,2439.0,5982.0
01003011410,2439.0,5982.0
01003011411,2439.0,5982.0
01003011412,2439.0,5982.0
01003011413,2439.0,5982.0
01003011414,2439.0,5982.0
01003011415,2439.0,5982.0
01003011416,2439.0,5982.0
01003011417,2439.0,5982.0
01003011418,2439.0,5982.0
01003011419,2439.0,5982.0
01003011501,2439.0,5982.0
01003011503,2439.0,5982.0
01003011504,2439.0,5982.0
01003011601,2439.0,5982.0
01003011603,2439.0,5982.0
01003011604,2439.0,5982.0
01005950100,2439.0,6020.0
01005950200,2439.0,6020.0
01005950300,2439.0,6020.0
01005950400,2439.0,6020.0
01005950500,2439.0,6020.0
01005950600,2439.0,6020.0
01005950700,2439.0,6020.0
01005950800,2439.0,6020.0
01005950900,2439.0,6020.0
01007010001,1871.0,2648.0
01007010005,1871.0,2648.0
01007010006,1871.0,2648.0
01007010007,1871.0,2648.0
01007010008,1871.0,2648.0
01007010009,1871.0,2648.0
01007010010,1871.0,2648.0
01007010011,1871.0,2648.0
01009050103,542.0,2986.0
01009050104,542.0,2986.0
01009050105,542.0,2986.0
01009050106,542.0,2986.0
01009050107,542.0,2986.0
01009050200,542.0,2986.0
01009050301,541.0,2986.0
01009050302,542.0,2986.0
01009050400,541.0,2986.0
01009050501,542.0,2986.0
01009050502,542.0,2986.0
01009050601,542.0,2986.0
01009050603,542.0,2986.0
01009050604,542.0,2986.0
01009050701,542.0,2986.0
01009050702,542.0,2986.0
01011952100,2439.0,6020.0
01011952201,2439.0,6020.0
01011952202,2439.0,6020.0
01011952500,2439.0,6020.0
01013952700,2440.0,6020.0
01013952800,2440.0,6020.0
01013952900,2440.0,6020.0
01013953000,2440.0,6020.0
01013953100,2440.0,6020.0
01013953200,2440.0,6020.0
01013953300,2440.0,6020.0
01013953400,2440.0,6020.0
