GEOID,District0
01001020100,517.0
01001020200,517.0
01001020300,517.0
01001020400,517.0
01001020501,517.0
01001020502,517.0
01001020503,517.0
01001020600,517.0
01001020700,517.0
01001020801,517.0
01001020803,517.0
01001020804,517.0
01001020805,517.0
01001020901,517.0
01001020902,517.0
01001021000,517.0
01001021100,517.0
01003010100,517.0
01003010200,482.0
01003010300,517.0
01003010400,482.0
01003010500,482.0
01003010600,517.0
01003010704,517.0
01003010706,517.0
01003010707,517.0
01003010708,517.0
01003010709,517.0
01003010710,517.0
01003010711,517.0
01003010800,517.0
01003010903,482.0
01003010904,482.0
01003010906,482.0
01003010907,482.0
01003010908,482.0
01003011000,482.0
01003011102,482.0
01003011103,517.0
01003011104,482.0
01003011201,517.0
01003011202,517.0
01003011300,482.0
01003011409,482.0
01003011410,482.0
01003011411,482.0
01003011412,482.0
01003011413,482.0
01003011414,482.0
01003011415,482.0
01003011416,482.0
01003011417,482.0
01003011418,482.0
01003011419,482.0
01003011501,482.0
01003011503,482.0
01003011504,482.0
01003011601,482.0
01003011603,482.0
01003011604,482.0
01005950100,482.0
01005950200,482.0
01005950300,482.0
01005950400,482.0
01005950500,482.0
01005950600,482.0
01005950700,482.0
01005950800,482.0
01005950900,482.0
01007010001,26.0
01007010005,26.0
01007010006,26.0
01007010007,126.0
01007010008,126.0
01007010009,26.0
01007010010,26.0
01007010011,26.0
01009050103,125.0
01009050104,125.0
01009050105,125.0
01009050106,125.0
01009050107,125.0
01009050200,125.0
01009050301,125.0
01009050302,125.0
01009050400,125.0
01009050501,125.0
01009050502,125.0
01009050601,125.0
01009050603,125.0
01009050604,125.0
01009050701,125.0
01009050702,125.0
01011952100,482.0
01011952201,482.0
01011952202,482.0
01011952500,482.0
01013952700,482.0
01013952800,482.0
01013952900,482.0
01013953000,482.0
01013953100,482.0
01013953200,482.0
01013953300,482.0
01013953400,482.0
01013953500,482.0
01015000200,0.0
01015000300,0.0
01015000400,0.0
01015000500,0.0
01015000600,0.0
01015000700,0.0
01015000800,0.0
01015000900,0.0
01015001000,0.0
01015001101,0.0
01015001102,0.0
01015001103,0.0
01015001201,0.0
01015001202,0.0
01015001300,0.0
01015001400,0.0
01015001501,0.0
01015001502,0.0
01015001600,0.0
01015001700,0.0
01015001801,0.0
01015001802,0.0
01015002001,0.0
01015002002,0.0
01015002101,0.0
01015002102,0.0
01015002104,0.0
01015002105,0.0
01015002200,0.0
01015002300,0.0
01015002400,0.0
01015002502,0.0
01015002503,0.0
01015002504,0.0
01015002600,0.0
01015981901,0.0
01015981902,0.0
01015981903,0.0
01017953800,517.0
01017953900,517.0
01017954001,517.0
01017954002,517.0
01017954200,517.0
01017954300,517.0
01017954600,517.0
01017954700,517.0
01017954800,517.0
01019955701,0.0
01019955702,0.0
01019955801,0.0
01019955802,0.0
01019955900,0.0
01019956000,0.0
01019956101,0.0
01019956102,0.0
01021060101,518.0
01021060103,518.0
01021060104,518.0
01021060200,518.0
01021060300,126.0
01021060401,126.0
01021060403,126.0
01021060404,126.0
01021060500,518.0
01021060600,518.0
01021060701,518.0
01021060702,518.0
01023956700,518.0
01023956800,518.0
01023956900,518.0
01023957000,518.0
01025957500,517.0
01025957601,517.0
01025957603,517.0
01025957604,517.0
01025957700,518.0
01025957800,517.0
01025957901,517.0
01025957902,517.0
01025958003,517.0
01027958900,125.0
01027959000,126.0
01027959100,126.0
01027959200,126.0
01029959500,125.0
01029959600,125.0
01029959700,125.0
01029959800,125.0
01031010100,482.0
01031010200,482.0
01031010300,482.0
01031010400,482.0
01031010500,482.0
01031010600,482.0
01031010700,482.0
01031010800,482.0
01031010900,482.0
01031011000,482.0
01031011100,482.0
01031011203,482.0
01031011204,482.0
01031011205,482.0
01031011206,482.0
01031011300,482.0
01033020100,26.0
01033020200,26.0
01033020300,26.0
01033020400,26.0
01033020500,26.0
