GEOID,District0,District1,District2
01001020100,264.0,2151.0,5026.0
01001020200,264.0,2151.0,5026.0
01001020300,264.0,2151.0,5026.0
01001020400,264.0,2151.0,5026.0
01001020501,264.0,2151.0,5026.0
01001020502,264.0,2151.0,5026.0
01001020503,264.0,2151.0,5026.0
01001020600,264.0,2151.0,5026.0
01001020700,264.0,2151.0,5026.0
01001020801,264.0,2151.0,5026.0
01001020803,264.0,2151.0,5026.0
01001020804,264.0,2151.0,5026.0
01001020805,264.0,2151.0,5026.0
01001020901,264.0,2151.0,5026.0
01001020902,264.0,2151.0,5026.0
01001021000,264.0,2151.0,5026.0
01001021100,264.0,2151.0,5026.0
01003010100,405.0,490.0,5027.0
01003010200,405.0,490.0,5027.0
01003010300,405.0,490.0,5027.0
01003010400,405.0,490.0,5027.0
01003010500,405.0,490.0,5027.0
01003010600,405.0,490.0,5027.0
01003010704,405.0,490.0,5027.0
01003010706,405.0,490.0,5027.0
01003010707,405.0,490.0,5027.0
01003010708,405.0,490.0,5027.0
01003010709,405.0,490.0,5027.0
01003010710,405.0,490.0,5027.0
01003010711,405.0,490.0,5027.0
01003010800,405.0,490.0,5027.0
01003010903,405.0,490.0,5027.0
01003010904,405.0,490.0,5027.0
01003010906,405.0,490.0,5027.0
01003010907,405.0,490.0,5027.0
01003010908,405.0,490.0,5027.0
01003011000,405.0,490.0,5027.0
01003011102,405.0,490.0,5027.0
01003011103,405.0,490.0,5027.0
01003011104,405.0,490.0,5027.0
01003011201,405.0,490.0,5027.0
01003011202,405.0,490.0,5027.0
01003011300,405.0,490.0,5027.0
01003011409,405.0,490.0,5027.0
01003011410,405.0,490.0,5027.0
01003011411,405.0,490.0,5027.0
01003011412,405.0,490.0,5027.0
01003011413,405.0,490.0,5027.0
01003011414,405.0,490.0,5027.0
01003011415,405.0,490.0,5027.0
01003011416,405.0,490.0,5027.0
01003011417,405.0,490.0,5027.0
01003011418,405.0,490.0,5027.0
01003011419,405.0,490.0,5027.0
01003011501,405.0,490.0,5027.0
01003011503,405.0,490.0,5027.0
01003011504,405.0,490.0,5027.0
01003011601,405.0,490.0,5027.0
01003011603,405.0,490.0,5027.0
01003011604,405.0,490.0,5027.0
01005950100,404.0,2152.0,5028.0
01005950200,404.0,2152.0,5028.0
01005950300,404.0,2152.0,5028.0
01005950400,404.0,2152.0,5028.0
01005950500,404.0,2152.0,5028.0
01005950600,404.0,2152.0,5028.0
01005950700,404.0,2152.0,5028.0
01005950800,404.0,2152.0,5028.0
01005950900,404.0,2152.0,5028.0
01007010001,264.0,491.0,2671.0
01007010005,264.0,491.0,2671.0
01007010006,265.0,491.0,2671.0
01007010007,264.0,491.0,5026.0
01007010008,264.0,491.0,2671.0
01007010009,264.0,491.0,5026.0
01007010010,264.0,491.0,5026.0
01007010011,264.0,491.0,5026.0
01009050103,29.0,479.0,2630.0
01009050104,0.0,479.0,2630.0
01009050105,0.0,479.0,2630.0
01009050106,0.0,479.0,2630.0
01009050107,0.0,479.0,2630.0
01009050200,0.0,479.0,2630.0
01009050301,0.0,479.0,2630.0
01009050302,0.0,479.0,2630.0
01009050400,0.0,479.0,2630.0
01009050501,0.0,479.0,2630.0
01009050502,0.0,479.0,2630.0
01009050601,265.0,478.0,2631.0
01009050603,29.0,478.0,2671.0
01009050604,29.0,478.0,2630.0
01009050701,29.0,478.0,2670.0
01009050702,29.0,478.0,2670.0
01011952100,404.0,2152.0,5028.0
01011952201,404.0,2152.0,5028.0
01011952202,404.0,2152.0,5028.0
01011952500,404.0,2152.0,5028.0
01013952700,404.0,491.0,5028.0
01013952800,404.0,491.0,5028.0
01013952900,404.0,491.0,5028.0
01013953000,264.0,491.0,5028.0
01013953100,404.0,491.0,5028.0
01013953200,404.0,491.0,5028.0
01013953300,404.0,491.0,5028.0
01013953400,404.0,491.0,5028.0
01013953500,404.0,491.0,5028.0
01015000200,0.0,2153.0,2630.0
01015000300,0.0,2153.0,2630.0
01015000400,0.0,2153.0,2670.0
01015000500,29.0,2153.0,2670.0
01015000600,29.0,2153.0,2630.0
01015000700,0.0,2153.0,2670.0
01015000800,29.0,2153.0,2630.0
01015000900,0.0,2153.0,2630.0
01015001000,0.0,2153.0,2670.0
01015001101,29.0,2153.0,2630.0
01015001102,29.0,2153.0,2630.0
01015001103,29.0,2153.0,2670.0
01015001201,29.0,2153.0,2670.0
01015001202,29.0,2153.0,2670.0
01015001300,29.0,2153.0,2630.0
01015001400,29.0,2153.0,2670.0
01015001501,29.0,2153.0,2670.0
01015001502,29.0,2153.0,2670.0
01015001600,0.0,2153.0,2670.0
01015001700,0.0,2153.0,2670.0
01015001801,0.0,2153.0,2630.0
01015001802,0.0,2153.0,2670.0
01015002001,0.0,2153.0,2630.0
01015002002,0.0,2153.0,2630.0
01015002101,0.0,2153.0,2630.0
01015002102,0.0,2153.0,2630.0
01015002104,0.0,2153.0,2630.0
01015002105,0.0,2153.0,2630.0
01015002200,0.0,2153.0,2630.0
01015002300,0.0,2153.0,2630.0
01015002400,0.0,2153.0,2630.0
01015002502,0.0,2153.0,2630.0
01015002503,0.0,2153.0,2630.0
01015002504,0.0,2153.0,2670.0
01015002600,29.0,2153.0,2670.0
01015981901,29.0,2153.0,2670.0
01015981902,29.0,2153.0,2670.0
01015981903,0.0,2153.0,2670.0
01017953800,29.0,2152.0,2670.0
01017953900,29.0,2152.0,2670.0
01017954001,29.0,2152.0,2670.0
01017954002,29.0,2152.0,2670.0
01017954200,29.0,2152.0,2670.0
01017954300,404.0,2152.0,2670.0
01017954600,29.0,2152.0,2670.0
01017954700,404.0,2152.0,2670.0
01017954800,29.0,2152.0,2670.0
01019955701,0.0,2153.0,2630.0
01019955702,0.0,2153.0,2630.0
01019955801,0.0,479.0,2630.0
01019955802,0.0,479.0,2630.0
01019955900,0.0,2153.0,2630.0
01019956000,0.0,2153.0,2630.0
01019956101,0.0,2153.0,2630.0
01019956102,0.0,2153.0,2630.0
01021060101,264.0,2151.0,5026.0
01021060103,264.0,2151.0,5026.0
01021060104,264.0,2151.0,5026.0
01021060200,264.0,2151.0,2670.0
01021060300,264.0,2151.0,2670.0
01021060401,264.0,2151.0,5026.0
01021060403,264.0,2151.0,2671.0
01021060404,264.0,2151.0,2671.0
01021060500,264.0,2151.0,5026.0
01021060600,264.0,2151.0,5026.0
01021060701,264.0,2151.0,5026.0
01021060702,264.0,2151.0,5026.0
01023956700,264.0,491.0,5026.0
01023956800,264.0,491.0,5026.0
01023956900,264.0,491.0,5026.0
01023957000,264.0,491.0,5027.0
01025957500,264.0,491.0,5026.0
01025957601,264.0,491.0,5026.0
01025957603,264.0,491.0,5026.0
01025957604,264.0,491.0,5026.0
01025957700,264.0,491.0,5026.0
01025957800,405.0,491.0,5028.0
01025957901,405.0,491.0,5027.0
01025957902,405.0,491.0,5027.0
01025958003,405.0,490.0,5027.0
01027958900,29.0,2153.0,2670.0
01027959000,29.0,2153.0,2670.0
01027959100,29.0,2153.0,2670.0
01027959200,29.0,2153.0,2670.0
01029959500,0.0,2153.0,2630.0
01029959600,0.0,2153.0,2630.0
01029959700,0.0,2153.0,2670.0
01029959800,0.0,2152.0,2670.0
01031010100,404.0,491.0,5028.0
01031010200,404.0,491.0,5028.0
01031010300,404.0,491.0,5028.0
01031010400,404.0,491.0,5028.0
01031010500,404.0,491.0,5028.0
01031010600,404.0,491.0,5028.0
01031010700,404.0,491.0,5028.0
01031010800,404.0,491.0,5028.0
01031010900,404.0,491.0,5028.0
01031011000,404.0,491.0,5028.0
01031011100,404.0,491.0,5028.0
01031011203,404.0,491.0,5028.0
01031011204,404.0,491.0,5028.0
01031011205,404.0,491.0,5028.0
01031011206,404.0,2152.0,5028.0
01031011300,404.0,491.0,5028.0
01033020100,1.0,478.0,2631.0
01033020200,1.0,478.0,5026.0
01033020300,1.0,478.0,2631.0
01033020400,1.0,478.0,5026.0
01033020500,1.0,478.0,5026.0
01033020600,1.0,478.0,2631.0
01033020703,1.0,478.0,2631.0
01033020704,1.0,478.0,2631.0
01033020705,1.0,478.0,2631.0
01033020706,1.0,478.0,2631.0
01033020801,1.0,478.0,2631.0
01033020802,1.0,478.0,2631.0
01033020901,1.0,478.0,2631.0
01033020902,1.0,478.0,5026.0
01033021000,1.0,478.0,5026.0
01035960200,404.0,491.0,5028.0
01035960300,404.0,490.0,5027.0
01035960400,404.0,490.0,5028.0
01035960500,404.0,490.0,5028.0
01035960600,404.0,491.0,5028.0
01037961000,29.0,2153.0,2670.0
01037961100,29.0,2153.0,2670.0
01037961200,29.0,2153.0,2670.0
01039961600,404.0,491.0,5028.0
01039961700,404.0,491.0,5028.0
01039961800,404.0,491.0,5028.0
01039961900,404.0,491.0,5028.0
01039962000,404.0,491.0,5028.0
01039962100,404.0,491.0,5028.0
01039962300,404.0,491.0,5028.0
01039962400,404.0,491.0,5028.0
01039962500,404.0,491.0,5028.0
