GEOID20,District0,District1
360290001101000,28.0,72.0
360290001101001,28.0,72.0
360290001101002,28.0,72.0
360290001101003,28.0,72.0
360290001101004,28.0,72.0
360290001101005,28.0,72.0
360290001101006,28.0,72.0
360290001102000,28.0,72.0
360290001102001,28.0,72.0
360290001102002,28.0,72.0
360290001102003,28.0,72.0
360290001102004,28.0,72.0
360290001102005,28.0,72.0
360290001103000,29.0,72.0
360290001103001,29.0,72.0
360290001103002,29.0,72.0
360290001103003,29.0,72.0
360290001103004,29.0,72.0
360290001103005,29.0,72.0
360290001103006,29.0,72.0
360290001103007,29.0,72.0
360290001103008,29.0,85.0
360290001103009,29.0,85.0
360290001103010,29.0,85.0
360290001103011,29.0,72.0
360290001103012,29.0,72.0
360290001103013,29.0,72.0
360290001103017,29.0,72.0
360290001103019,29.0,72.0
360290001103020,29.0,72.0
360290001103021,29.0,72.0
360290001103022,29.0,72.0
360290001103023,29.0,72.0
360290001103024,28.0,72.0
360290001103025,29.0,72.0
360290001103026,28.0,72.0
360290001103027,28.0,72.0
360290001103028,28.0,72.0
360290001103029,28.0,72.0
360290001103030,28.0,72.0
360290001103031,28.0,72.0
360290001103032,29.0,72.0
360290001103033,29.0,72.0
360290001103034,29.0,72.0
360290001103035,29.0,72.0
360290001103036,29.0,72.0
360290001103037,28.0,72.0
360290001103038,28.0,72.0
360290001103039,28.0,72.0
360290001103040,28.0,72.0
360290001103041,28.0,72.0
360290001103042,28.0,72.0
360290001103043,28.0,72.0
360290001103044,28.0,72.0
360290001103045,28.0,72.0
360290001103046,28.0,72.0
360290001103047,28.0,72.0
360290001103048,28.0,72.0
360290001103049,28.0,72.0
360290001103050,28.0,72.0
360290001103051,28.0,72.0
360290001103052,28.0,72.0
360290001103053,28.0,72.0
360290001103054,28.0,72.0
360290001103055,29.0,72.0
360290001103056,29.0,72.0
360290001103057,29.0,72.0
360290002001000,28.0,72.0
360290002001001,29.0,72.0
360290002001002,28.0,72.0
360290002001003,28.0,72.0
360290002001004,28.0,72.0
360290002001005,28.0,72.0
360290002001006,28.0,72.0
360290002001007,28.0,72.0
360290002001008,28.0,72.0
360290002001009,28.0,72.0
360290002001010,28.0,72.0
360290002001011,28.0,72.0
360290002001012,28.0,72.0
360290002001013,28.0,72.0
360290002002000,28.0,72.0
360290002002001,28.0,72.0
360290002002002,28.0,72.0
360290002002003,28.0,72.0
360290002002004,28.0,72.0
360290002002005,28.0,72.0
360290002003000,28.0,72.0
360290002003001,28.0,72.0
360290002003002,28.0,72.0
360290002003003,28.0,72.0
360290002003004,28.0,72.0
360290002003005,28.0,72.0
360290002004000,29.0,72.0
360290002004001,29.0,72.0
360290002004002,29.0,72.0
360290002004003,28.0,72.0
360290002004004,28.0,72.0
360290002004005,28.0,72.0
360290002004006,28.0,72.0
360290002004007,28.0,72.0
360290002004008,28.0,72.0
360290002004009,28.0,72.0
360290002004010,28.0,72.0
360290005001000,29.0,87.0
360290005001001,29.0,87.0
360290005001002,29.0,87.0
360290005001003,29.0,87.0
360290005001004,29.0,87.0
360290005001005,29.0,87.0
360290005001006,29.0,87.0
360290005001007,29.0,87.0
360290005001008,29.0,87.0
360290005001009,29.0,87.0
360290005001010,29.0,87.0
360290005001011,29.0,87.0
360290005001012,29.0,87.0
360290005001013,29.0,87.0
360290005001014,29.0,87.0
360290005001015,29.0,87.0
360290005001016,29.0,87.0
360290005001017,29.0,87.0
360290005001018,29.0,87.0
360290005001019,29.0,87.0
360290005001020,29.0,87.0
360290005001021,29.0,87.0
360290005001022,29.0,87.0
360290005001023,29.0,87.0
360290005001024,29.0,85.0
360290005001025,29.0,85.0
360290005001026,29.0,85.0
360290005001027,29.0,85.0
360290005001028,29.0,85.0
360290005001032,29.0,85.0
360290005001038,29.0,85.0
360290005001039,29.0,85.0
360290005001040,29.0,85.0
360290005001041,29.0,85.0
360290005001042,29.0,85.0
360290005001043,29.0,85.0
360290005001044,29.0,87.0
360290005001045,29.0,87.0
360290005001046,29.0,87.0
360290005001047,29.0,72.0
360290005001048,29.0,87.0
360290005001049,29.0,87.0
360290005001050,29.0,85.0
360290005001051,29.0,85.0
360290005001052,29.0,85.0
360290005001053,29.0,85.0
360290005001054,29.0,85.0
360290005001055,29.0,85.0
360290005001056,29.0,87.0
360290005001057,29.0,72.0
360290005002000,29.0,87.0
360290005002001,29.0,87.0
360290005002002,29.0,87.0
360290005002003,29.0,87.0
360290005002004,29.0,87.0
360290005002005,29.0,85.0
360290005002006,29.0,85.0
360290005002007,29.0,85.0
360290005002008,29.0,87.0
360290005002009,29.0,87.0
360290005002010,29.0,87.0
360290005002011,29.0,87.0
360290005002012,29.0,87.0
360290005002013,29.0,87.0
360290005002014,29.0,87.0
360290005002015,29.0,87.0
360290005002016,29.0,87.0
360290005002017,29.0,87.0
360290005002018,29.0,87.0
360290005002019,29.0,87.0
360290006001000,28.0,72.0
360290006001001,28.0,72.0
360290006001002,28.0,72.0
360290006001003,28.0,72.0
360290006001004,28.0,72.0
360290006001005,28.0,72.0
