GEOID20,District0,District1,District2,District3,District4,District5,District6,District7
360290001101000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001101001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001101002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001101003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001101004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001101005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001101006,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001102000,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001102001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001102002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001102003,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001102004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001102005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103000,5.0,22.0,47.0,67.0,106.0,127.0,144.0,168.0
360290001103001,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103002,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103003,5.0,27.0,47.0,67.0,106.0,127.0,144.0,168.0
360290001103004,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103005,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103006,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103007,5.0,27.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103008,7.0,27.0,49.0,67.0,100.0,127.0,151.0,168.0
360290001103009,7.0,27.0,49.0,67.0,100.0,127.0,151.0,168.0
360290001103010,7.0,27.0,49.0,67.0,100.0,127.0,151.0,168.0
360290001103011,5.0,27.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103012,5.0,27.0,49.0,67.0,100.0,128.0,144.0,168.0
360290001103013,5.0,27.0,49.0,67.0,100.0,128.0,144.0,168.0
360290001103017,5.0,27.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103019,5.0,27.0,47.0,67.0,100.0,128.0,144.0,168.0
360290001103020,5.0,27.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103021,5.0,27.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103022,5.0,27.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103023,5.0,27.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103024,5.0,27.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103025,5.0,27.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103026,5.0,27.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103027,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103028,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103029,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103030,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103031,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103032,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103033,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103034,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103035,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103036,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103037,5.0,22.0,47.0,67.0,106.0,128.0,144.0,168.0
360290001103038,5.0,27.0,47.0,67.0,106.0,128.0,144.0,168.0
