GEOID20,District0,District1,District2,District3,District4,District5,District6,District7,District8,District9,District10,District11,District12,District13,District14
360290001101000,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001101001,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001101002,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001101003,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001101004,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001101005,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001101006,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001102000,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001102001,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001102002,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001102003,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001102004,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001102005,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103000,20.0,32.0,81.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,277.0,301.0,321.0,335.0
360290001103001,20.0,32.0,81.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290001103002,20.0,32.0,81.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290001103003,0.0,32.0,81.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,277.0,301.0,321.0,335.0
360290001103004,20.0,32.0,81.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290001103005,20.0,32.0,81.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290001103006,20.0,32.0,81.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290001103007,20.0,32.0,81.0,96.0,139.0,166.0,186.0,203.0,231.0,246.0,274.0,277.0,300.0,321.0,335.0
360290001103008,0.0,32.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,251.0,274.0,277.0,304.0,322.0,335.0
360290001103009,0.0,32.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,251.0,274.0,294.0,304.0,322.0,335.0
360290001103010,0.0,32.0,81.0,96.0,139.0,148.0,186.0,203.0,231.0,251.0,274.0,294.0,304.0,322.0,335.0
360290001103011,20.0,32.0,81.0,96.0,139.0,166.0,186.0,203.0,231.0,246.0,274.0,277.0,300.0,321.0,335.0
360290001103012,0.0,32.0,81.0,96.0,139.0,166.0,186.0,203.0,231.0,246.0,274.0,294.0,304.0,321.0,335.0
360290001103013,20.0,32.0,81.0,96.0,139.0,166.0,186.0,203.0,231.0,246.0,274.0,294.0,304.0,321.0,335.0
360290001103017,20.0,32.0,81.0,96.0,139.0,166.0,186.0,203.0,231.0,246.0,274.0,294.0,304.0,321.0,335.0
360290001103019,20.0,32.0,81.0,96.0,139.0,165.0,186.0,203.0,231.0,245.0,274.0,294.0,304.0,321.0,335.0
360290001103020,20.0,32.0,81.0,96.0,139.0,165.0,186.0,203.0,231.0,245.0,274.0,294.0,300.0,321.0,335.0
360290001103021,20.0,32.0,81.0,96.0,139.0,165.0,186.0,203.0,231.0,245.0,274.0,294.0,300.0,321.0,335.0
360290001103022,20.0,32.0,81.0,96.0,139.0,165.0,186.0,203.0,231.0,245.0,274.0,294.0,300.0,321.0,335.0
360290001103023,20.0,32.0,81.0,96.0,139.0,165.0,186.0,203.0,231.0,245.0,274.0,277.0,300.0,321.0,335.0
360290001103024,20.0,32.0,82.0,96.0,139.0,165.0,186.0,203.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103025,20.0,32.0,81.0,96.0,139.0,165.0,186.0,203.0,231.0,246.0,274.0,277.0,300.0,321.0,335.0
360290001103026,20.0,32.0,82.0,96.0,139.0,165.0,186.0,203.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103027,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103028,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103029,20.0,32.0,81.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103030,20.0,32.0,81.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103031,20.0,32.0,81.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103032,20.0,32.0,81.0,99.0,139.0,166.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103033,20.0,32.0,81.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290001103034,20.0,32.0,81.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290001103035,20.0,32.0,81.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290001103036,20.0,32.0,81.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290001103037,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103038,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103039,20.0,32.0,82.0,96.0,139.0,165.0,186.0,203.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103040,20.0,32.0,82.0,96.0,139.0,165.0,186.0,203.0,231.0,245.0,274.0,294.0,300.0,321.0,335.0
360290001103041,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103042,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103043,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103044,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103045,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103046,20.0,32.0,82.0,96.0,139.0,165.0,186.0,203.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103047,20.0,32.0,82.0,96.0,139.0,165.0,186.0,203.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103048,20.0,32.0,82.0,96.0,139.0,165.0,186.0,203.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103049,20.0,32.0,82.0,96.0,139.0,165.0,186.0,203.0,231.0,245.0,274.0,294.0,300.0,321.0,335.0
360290001103050,20.0,32.0,82.0,96.0,139.0,165.0,186.0,203.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103051,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103052,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103053,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103054,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290001103055,20.0,32.0,81.0,96.0,139.0,165.0,186.0,203.0,231.0,245.0,274.0,294.0,304.0,321.0,335.0
360290001103056,20.0,32.0,81.0,96.0,139.0,165.0,186.0,203.0,231.0,245.0,274.0,294.0,300.0,321.0,335.0
360290001103057,0.0,32.0,81.0,99.0,139.0,148.0,186.0,203.0,231.0,246.0,273.0,277.0,301.0,321.0,335.0
360290002001000,20.0,32.0,82.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290002001001,20.0,32.0,81.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290002001002,20.0,32.0,81.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290002001003,20.0,32.0,81.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290002001004,20.0,32.0,82.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290002001005,20.0,32.0,82.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290002001006,20.0,32.0,82.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290002001007,20.0,32.0,81.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002001008,20.0,32.0,81.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290002001009,20.0,32.0,82.0,99.0,139.0,166.0,186.0,207.0,231.0,246.0,274.0,280.0,300.0,321.0,335.0
360290002001010,20.0,32.0,81.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002001011,20.0,32.0,81.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002001012,20.0,32.0,82.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002001013,20.0,32.0,82.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002002000,20.0,32.0,82.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002002001,20.0,32.0,82.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002002002,20.0,32.0,82.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002002003,20.0,32.0,81.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002002004,20.0,32.0,82.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002002005,20.0,32.0,81.0,99.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
360290002003000,20.0,32.0,82.0,96.0,139.0,165.0,186.0,207.0,231.0,245.0,274.0,280.0,300.0,321.0,335.0
