GEOID20,District0,District1,District2,District3,District4
360290001101000,669.0,1916.0,2118.0,3003.0,3455.0
360290001101001,669.0,1916.0,2118.0,3003.0,3455.0
360290001101002,669.0,1916.0,2118.0,3003.0,3455.0
360290001101003,669.0,1916.0,2118.0,3003.0,3455.0
360290001101004,669.0,1916.0,2118.0,3003.0,3455.0
360290001101005,669.0,1916.0,2118.0,3003.0,3455.0
360290001101006,669.0,1916.0,2118.0,3003.0,3455.0
360290001102000,669.0,1916.0,2118.0,3003.0,3455.0
360290001102001,669.0,1916.0,2118.0,3003.0,3455.0
360290001102002,669.0,1916.0,2118.0,3003.0,3455.0
360290001102003,669.0,1916.0,2118.0,3003.0,3455.0
360290001102004,669.0,1916.0,2118.0,3003.0,3455.0
360290001102005,669.0,1916.0,2118.0,3003.0,3455.0
360290001103000,669.0,1358.0,2118.0,3003.0,3455.0
360290001103001,669.0,1916.0,2118.0,3003.0,3455.0
360290001103002,669.0,1916.0,2118.0,3003.0,3455.0
360290001103003,669.0,1358.0,2118.0,3003.0,3454.0
360290001103004,669.0,1916.0,2118.0,3003.0,3455.0
360290001103005,669.0,1916.0,2118.0,3003.0,3455.0
360290001103006,669.0,1916.0,2118.0,3003.0,3455.0
360290001103007,669.0,1358.0,2118.0,3003.0,3454.0
360290001103008,679.0,1358.0,2118.0,2715.0,3454.0
360290001103009,679.0,1358.0,2118.0,2715.0,3454.0
360290001103010,679.0,1358.0,2118.0,2715.0,3454.0
360290001103011,669.0,1358.0,2118.0,3003.0,3454.0
360290001103012,669.0,1358.0,2118.0,3003.0,3454.0
360290001103013,669.0,1358.0,2118.0,3003.0,3454.0
360290001103017,669.0,1358.0,2118.0,3003.0,3454.0
360290001103019,669.0,1358.0,2118.0,3003.0,3454.0
360290001103020,669.0,1358.0,2118.0,3003.0,3454.0
360290001103021,669.0,1358.0,2118.0,3003.0,3454.0
360290001103022,669.0,1358.0,2118.0,3003.0,3454.0
360290001103023,669.0,1358.0,2118.0,3003.0,3454.0
360290001103024,669.0,1358.0,2118.0,3003.0,3455.0
360290001103025,669.0,1358.0,2118.0,3003.0,3454.0
360290001103026,669.0,1358.0,2118.0,3003.0,3455.0
360290001103027,669.0,1916.0,2118.0,3003.0,3455.0
360290001103028,669.0,1916.0,2118.0,3003.0,3455.0
360290001103029,669.0,1916.0,2118.0,3003.0,3455.0
360290001103030,669.0,1916.0,2118.0,3003.0,3455.0
360290001103031,669.0,1916.0,2118.0,3003.0,3455.0
360290001103032,669.0,1916.0,2118.0,3003.0,3455.0
360290001103033,669.0,1916.0,2118.0,3003.0,3455.0
360290001103034,669.0,1916.0,2118.0,3003.0,3455.0
360290001103035,669.0,1916.0,2118.0,3003.0,3455.0
360290001103036,669.0,1916.0,2118.0,3003.0,3455.0
360290001103037,669.0,1916.0,2118.0,3003.0,3455.0
360290001103038,669.0,1358.0,2118.0,3003.0,3455.0
360290001103039,669.0,1358.0,2118.0,3003.0,3455.0
360290001103040,669.0,1358.0,2118.0,3003.0,3455.0
360290001103041,669.0,1916.0,2118.0,3003.0,3455.0
360290001103042,669.0,1916.0,2118.0,3003.0,3455.0
360290001103043,669.0,1916.0,2118.0,3003.0,3455.0
360290001103044,669.0,1916.0,2118.0,3003.0,3455.0
360290001103045,669.0,1358.0,2118.0,3003.0,3455.0
360290001103046,669.0,1358.0,2118.0,3003.0,3455.0
360290001103047,669.0,1358.0,2118.0,3003.0,3455.0
