GEOID20,District0
360290001101000,40.0
360290001101001,40.0
360290001101002,40.0
360290001101003,40.0
360290001101004,40.0
360290001101005,40.0
360290001101006,40.0
360290001102000,40.0
360290001102001,40.0
360290001102002,40.0
360290001102003,40.0
360290001102004,40.0
360290001102005,40.0
360290001103000,40.0
360290001103001,40.0
360290001103002,40.0
360290001103003,40.0
360290001103004,40.0
360290001103005,40.0
360290001103006,40.0
360290001103007,40.0
360290001103008,40.0
360290001103009,40.0
360290001103010,40.0
360290001103011,40.0
360290001103012,40.0
360290001103013,40.0
360290001103017,40.0
360290001103019,40.0
360290001103020,40.0
360290001103021,40.0
360290001103022,40.0
360290001103023,40.0
360290001103024,40.0
360290001103025,40.0
360290001103026,40.0
360290001103027,40.0
360290001103028,40.0
360290001103029,40.0
360290001103030,40.0
360290001103031,40.0
360290001103032,40.0
360290001103033,40.0
360290001103034,40.0
360290001103035,40.0
360290001103036,40.0
360290001103037,40.0
360290001103038,40.0
360290001103039,40.0
360290001103040,40.0
360290001103041,40.0
360290001103042,40.0
360290001103043,40.0
360290001103044,40.0
360290001103045,40.0
360290001103046,40.0
360290001103047,40.0
360290001103048,40.0
360290001103049,40.0
360290001103050,40.0
360290001103051,40.0
360290001103052,40.0
360290001103053,40.0
360290001103054,40.0
360290001103055,40.0
360290001103056,40.0
360290001103057,40.0
360290002001000,40.0
360290002001001,40.0
360290002001002,40.0
360290002001003,40.0
360290002001004,40.0
360290002001005,40.0
360290002001006,40.0
360290002001007,40.0
360290002001008,40.0
360290002001009,40.0
360290002001010,40.0
360290002001011,40.0
360290002001012,40.0
360290002001013,40.0
360290002002000,40.0
360290002002001,40.0
360290002002002,40.0
360290002002003,40.0
360290002002004,40.0
360290002002005,40.0
360290002003000,40.0
360290002003001,40.0
360290002003002,40.0
360290002003003,40.0
360290002003004,40.0
360290002003005,40.0
360290002004000,40.0
360290002004001,40.0
360290002004002,40.0
360290002004003,40.0
360290002004004,40.0
360290002004005,40.0
360290002004006,40.0
360290002004007,40.0
360290002004008,40.0
360290002004009,40.0
360290002004010,40.0
360290005001000,40.0
360290005001001,40.0
360290005001002,40.0
360290005001003,40.0
360290005001004,40.0
360290005001005,40.0
360290005001006,40.0
360290005001007,40.0
360290005001008,40.0
360290005001009,40.0
360290005001010,40.0
360290005001011,40.0
360290005001012,40.0
360290005001013,40.0
360290005001014,40.0
360290005001015,40.0
360290005001016,40.0
360290005001017,40.0
360290005001018,40.0
360290005001019,40.0
360290005001020,40.0
360290005001021,40.0
360290005001022,40.0
360290005001023,40.0
360290005001024,40.0
360290005001025,40.0
360290005001026,40.0
360290005001027,40.0
360290005001028,40.0
360290005001032,40.0
360290005001038,40.0
360290005001039,40.0
360290005001040,40.0
360290005001041,40.0
360290005001042,40.0
360290005001043,40.0
360290005001044,40.0
360290005001045,40.0
360290005001046,40.0
360290005001047,40.0
360290005001048,40.0
360290005001049,40.0
360290005001050,40.0
360290005001051,40.0
360290005001052,40.0
360290005001053,40.0
360290005001054,40.0
360290005001055,40.0
360290005001056,40.0
360290005001057,40.0
360290005002000,40.0
360290005002001,40.0
360290005002002,40.0
360290005002003,40.0
360290005002004,40.0
360290005002005,40.0
360290005002006,40.0
360290005002007,40.0
360290005002008,40.0
360290005002009,40.0
360290005002010,40.0
360290005002011,40.0
360290005002012,40.0
360290005002013,40.0
360290005002014,40.0
360290005002015,40.0
360290005002016,40.0
360290005002017,40.0
360290005002018,40.0
360290005002019,40.0
360290006001000,40.0
360290006001001,40.0
360290006001002,40.0
360290006001003,40.0
360290006001004,40.0
360290006001005,40.0
360290006002000,40.0
360290006002001,40.0
360290006002002,40.0
360290006002003,40.0
360290006002004,40.0
360290006002005,40.0
360290006003000,40.0
360290006003001,40.0
360290006003002,40.0
360290006003003,40.0
360290006003004,40.0
360290006003005,40.0
360290006004000,40.0
360290006004001,40.0
360290006004002,40.0
360290006004003,40.0
360290006004004,40.0
360290006004005,40.0
360290006004006,40.0
360290007001000,40.0
360290007001001,40.0
360290007001002,40.0
360290007001003,40.0
360290007001004,40.0
360290007001005,40.0
360290007002000,40.0
360290007002001,40.0
360290007002002,40.0
360290007002003,40.0
360290007002004,40.0
360290007002005,40.0
360290007003000,40.0
360290007003001,40.0
360290007003002,40.0
360290007003003,40.0
360290007003004,40.0
360290007003005,40.0
360290007003006,40.0
360290007004000,40.0
360290007004001,40.0
360290007004002,40.0
360290007004003,40.0
360290007004004,40.0
360290007004005,40.0
360290007005000,40.0
360290007005001,40.0
360290007005002,40.0
360290007005003,40.0
360290007005004,40.0
360290007005005,40.0
360290007005006,40.0
360290008001000,40.0
360290008001001,40.0
360290008001002,40.0
360290008001003,40.0
360290008001004,40.0
360290008001005,40.0
360290008001006,40.0
360290008001007,40.0
360290008002000,40.0
360290008002001,40.0
360290008002002,40.0
