GEOID,District0,District1,District2,District3,District4
36001000100,105.0,195.0,358.0,488.0,568.0
36001000201,105.0,195.0,358.0,488.0,568.0
36001000202,105.0,195.0,358.0,488.0,568.0
36001000301,105.0,195.0,358.0,488.0,568.0
36001000302,105.0,195.0,358.0,488.0,568.0
36001000401,105.0,195.0,358.0,489.0,568.0
36001000403,105.0,195.0,358.0,488.0,568.0
36001000404,105.0,195.0,358.0,488.0,568.0
36001000501,105.0,195.0,358.0,488.0,568.0
36001000502,105.0,195.0,358.0,488.0,568.0
36001000600,105.0,195.0,358.0,488.0,568.0
36001000700,105.0,195.0,358.0,488.0,568.0
36001000800,105.0,195.0,358.0,488.0,568.0
36001001100,105.0,195.0,358.0,488.0,568.0
36001001400,105.0,195.0,358.0,488.0,568.0
36001001500,105.0,195.0,358.0,488.0,568.0
36001001600,105.0,195.0,358.0,488.0,568.0
36001001700,105.0,195.0,358.0,488.0,568.0
36001001802,105.0,195.0,358.0,488.0,568.0
36001001803,105.0,195.0,358.0,488.0,568.0
36001001804,105.0,195.0,358.0,488.0,568.0
36001001901,105.0,195.0,358.0,488.0,568.0
36001001902,105.0,195.0,358.0,488.0,568.0
36001002000,105.0,195.0,358.0,488.0,568.0
36001002100,105.0,195.0,358.0,488.0,568.0
36001002200,105.0,195.0,358.0,488.0,568.0
36001002300,105.0,195.0,358.0,488.0,568.0
36001002500,105.0,195.0,358.0,488.0,568.0
36001002600,105.0,195.0,358.0,488.0,568.0
36001012700,105.0,195.0,357.0,489.0,568.0
36001012800,105.0,195.0,357.0,489.0,568.0
36001012900,107.0,195.0,357.0,489.0,568.0
36001013000,107.0,195.0,357.0,489.0,568.0
36001013100,105.0,195.0,357.0,489.0,568.0
36001013200,105.0,195.0,358.0,489.0,568.0
36001013300,105.0,195.0,358.0,489.0,568.0
36001013400,105.0,195.0,358.0,489.0,568.0
36001013503,107.0,195.0,357.0,489.0,568.0
36001013505,105.0,195.0,357.0,489.0,568.0
36001013507,105.0,195.0,357.0,489.0,568.0
36001013509,105.0,195.0,357.0,489.0,568.0
36001013510,105.0,195.0,357.0,489.0,568.0
36001013511,107.0,195.0,357.0,489.0,568.0
36001013512,107.0,196.0,357.0,489.0,568.0
36001013602,105.0,195.0,381.0,488.0,568.0
36001013603,105.0,195.0,358.0,489.0,568.0
36001013604,105.0,195.0,358.0,489.0,568.0
36001013703,105.0,195.0,358.0,489.0,568.0
36001013706,105.0,195.0,358.0,488.0,568.0
36001013707,105.0,195.0,358.0,489.0,568.0
36001013708,105.0,195.0,358.0,489.0,568.0
36001013709,105.0,195.0,358.0,489.0,568.0
36001013802,105.0,196.0,358.0,489.0,568.0
36001013803,105.0,196.0,358.0,489.0,568.0
36001013804,105.0,196.0,358.0,489.0,568.0
36001013901,105.0,195.0,358.0,489.0,568.0
36001013902,105.0,195.0,358.0,488.0,568.0
36001014001,105.0,195.0,358.0,488.0,568.0
36001014002,105.0,195.0,358.0,488.0,568.0
36001014100,105.0,195.0,358.0,488.0,568.0
36001014201,105.0,195.0,358.0,488.0,568.0
36001014202,105.0,195.0,358.0,488.0,568.0
36001014203,105.0,195.0,358.0,488.0,568.0
36001014301,105.0,195.0,358.0,488.0,568.0
36001014303,105.0,195.0,358.0,488.0,568.0
36001014304,105.0,195.0,358.0,488.0,568.0
36001014401,105.0,195.0,358.0,488.0,568.0
36001014402,105.0,195.0,381.0,488.0,568.0
36001014501,105.0,195.0,358.0,488.0,568.0
36001014502,105.0,195.0,358.0,488.0,568.0
36001014503,105.0,195.0,358.0,488.0,568.0
36001014606,105.0,195.0,358.0,489.0,564.0
36001014608,105.0,195.0,358.0,488.0,568.0
36001014609,105.0,195.0,358.0,488.0,568.0
36001014611,105.0,195.0,358.0,488.0,568.0
36001014612,105.0,195.0,358.0,489.0,568.0
36001014613,105.0,195.0,358.0,489.0,568.0
36001014614,105.0,195.0,358.0,488.0,568.0
36001014615,105.0,195.0,358.0,489.0,568.0
36001014616,105.0,195.0,358.0,488.0,564.0
36001014617,105.0,195.0,358.0,489.0,568.0
36001014700,105.0,195.0,358.0,488.0,568.0
36001014801,105.0,195.0,358.0,488.0,568.0
36001014802,105.0,195.0,358.0,488.0,568.0
36001014803,105.0,195.0,358.0,488.0,568.0
36003940200,86.0,186.0,343.0,440.0,533.0
36003950100,92.0,186.0,337.0,440.0,533.0
36003950300,86.0,186.0,343.0,440.0,533.0
36003950401,86.0,186.0,343.0,440.0,533.0
36003950402,86.0,186.0,343.0,440.0,533.0
36003950500,86.0,186.0,343.0,440.0,533.0
36003950600,86.0,203.0,343.0,440.0,533.0
36003950700,86.0,203.0,343.0,440.0,533.0
36003950800,86.0,203.0,337.0,440.0,533.0
36003950900,86.0,203.0,337.0,440.0,533.0
36003951000,86.0,203.0,343.0,440.0,533.0
36003951100,86.0,203.0,343.0,440.0,533.0
36003951201,86.0,203.0,343.0,440.0,533.0
36003951202,86.0,186.0,343.0,440.0,533.0
36003951301,86.0,186.0,343.0,440.0,533.0
36003951302,86.0,186.0,343.0,440.0,533.0
36005000100,138.0,173.0,291.0,411.0,543.0
36005000200,138.0,243.0,291.0,487.0,543.0
36005000400,138.0,243.0,291.0,487.0,543.0
36005001600,138.0,243.0,291.0,487.0,543.0
36005001901,127.0,173.0,290.0,411.0,543.0
36005001902,127.0,173.0,290.0,411.0,543.0
36005001903,127.0,173.0,290.0,411.0,543.0
36005001904,127.0,173.0,290.0,411.0,543.0
36005002001,138.0,243.0,291.0,411.0,543.0
36005002002,138.0,243.0,291.0,487.0,543.0
36005002300,127.0,173.0,290.0,411.0,545.0
36005002400,128.0,173.0,291.0,411.0,543.0
36005002500,127.0,173.0,290.0,411.0,545.0
36005002701,127.0,173.0,290.0,411.0,543.0
36005002702,127.0,173.0,290.0,411.0,543.0
36005002800,128.0,173.0,291.0,411.0,543.0
36005003100,127.0,173.0,290.0,411.0,543.0
36005003300,127.0,173.0,290.0,411.0,543.0
36005003500,127.0,173.0,290.0,411.0,543.0
36005003700,127.0,173.0,290.0,411.0,545.0
36005003800,138.0,243.0,291.0,487.0,543.0
36005003900,127.0,173.0,290.0,411.0,545.0
36005004001,138.0,243.0,291.0,487.0,543.0
36005004100,127.0,173.0,290.0,411.0,545.0
36005004200,138.0,243.0,291.0,487.0,543.0
36005004300,127.0,173.0,290.0,411.0,545.0
36005004400,138.0,173.0,291.0,487.0,543.0
36005004600,138.0,173.0,291.0,487.0,543.0
36005004800,128.0,160.0,291.0,411.0,543.0
36005005001,128.0,173.0,291.0,411.0,543.0
36005005002,128.0,173.0,291.0,411.0,543.0
36005005100,127.0,173.0,290.0,411.0,545.0
36005005200,128.0,173.0,291.0,430.0,543.0
36005005300,128.0,160.0,385.0,430.0,545.0
36005005400,128.0,160.0,291.0,430.0,543.0
36005005600,128.0,160.0,291.0,430.0,543.0
36005005902,127.0,173.0,290.0,411.0,545.0
36005006000,128.0,160.0,382.0,430.0,543.0
36005006100,127.0,173.0,290.0,411.0,545.0
36005006200,128.0,160.0,291.0,430.0,543.0
36005006301,127.0,173.0,292.0,411.0,545.0
36005006302,127.0,173.0,292.0,411.0,545.0
36005006400,128.0,160.0,291.0,487.0,543.0
36005006500,127.0,173.0,290.0,411.0,545.0
36005006700,127.0,173.0,290.0,411.0,545.0
36005006800,128.0,160.0,291.0,487.0,543.0
36005006900,127.0,173.0,290.0,411.0,545.0
36005007000,128.0,160.0,291.0,487.0,543.0
36005007100,127.0,173.0,290.0,411.0,545.0
36005007200,138.0,160.0,382.0,487.0,543.0
36005007300,127.0,173.0,290.0,411.0,543.0
36005007400,138.0,243.0,291.0,487.0,543.0
36005007500,127.0,173.0,290.0,411.0,545.0
36005007600,128.0,160.0,382.0,487.0,543.0
36005007700,127.0,173.0,290.0,411.0,543.0
36005007800,138.0,243.0,382.0,487.0,543.0
36005007900,127.0,173.0,290.0,411.0,543.0
36005008300,127.0,173.0,290.0,411.0,543.0
36005008400,138.0,243.0,291.0,487.0,543.0
36005008500,127.0,173.0,290.0,411.0,543.0
36005008600,138.0,243.0,291.0,487.0,543.0
36005008700,127.0,173.0,290.0,411.0,543.0
36005008900,127.0,173.0,290.0,411.0,543.0
36005009000,138.0,243.0,291.0,487.0,543.0
36005009200,138.0,243.0,382.0,487.0,543.0
36005009301,127.0,173.0,290.0,411.0,543.0
36005009302,127.0,173.0,290.0,411.0,543.0
36005009600,138.0,243.0,382.0,487.0,543.0
36005009800,138.0,243.0,291.0,487.0,543.0
36005011000,138.0,243.0,291.0,400.0,543.0
36005011502,127.0,173.0,290.0,411.0,543.0
36005011701,127.0,173.0,291.0,411.0,543.0
36005011702,127.0,173.0,291.0,411.0,543.0
36005011800,138.0,243.0,291.0,487.0,543.0
36005011900,128.0,173.0,290.0,430.0,543.0
36005012101,128.0,173.0,290.0,430.0,543.0
36005012102,127.0,173.0,290.0,430.0,543.0
36005012300,128.0,173.0,290.0,430.0,543.0
36005012500,128.0,173.0,290.0,430.0,543.0
36005012701,127.0,173.0,290.0,430.0,543.0
36005012901,127.0,173.0,290.0,411.0,543.0
36005013000,138.0,243.0,382.0,487.0,543.0
36005013100,128.0,173.0,290.0,430.0,543.0
36005013200,138.0,243.0,291.0,400.0,543.0
36005013300,127.0,173.0,290.0,430.0,545.0
36005013500,127.0,173.0,290.0,430.0,545.0
36005013800,138.0,243.0,382.0,487.0,543.0
36005014100,127.0,173.0,290.0,430.0,545.0
36005014300,127.0,173.0,290.0,430.0,545.0
36005014400,138.0,243.0,291.0,400.0,543.0
36005014500,128.0,173.0,290.0,430.0,545.0
36005014701,128.0,173.0,290.0,430.0,545.0
36005014702,128.0,173.0,290.0,430.0,545.0
36005014900,128.0,173.0,290.0,430.0,545.0
36005015100,128.0,173.0,290.0,430.0,545.0
36005015200,138.0,243.0,382.0,487.0,543.0
36005015300,128.0,173.0,290.0,430.0,543.0
36005015500,128.0,160.0,291.0,430.0,543.0
36005015700,128.0,160.0,291.0,430.0,543.0
36005015800,138.0,243.0,382.0,487.0,543.0
36005015900,127.0,173.0,290.0,430.0,543.0
36005016000,138.0,243.0,382.0,487.0,543.0
36005016100,128.0,160.0,382.0,430.0,543.0
36005016200,138.0,243.0,382.0,487.0,543.0
36005016300,128.0,160.0,291.0,430.0,545.0
36005016400,138.0,243.0,382.0,487.0,543.0
36005016500,128.0,160.0,385.0,430.0,545.0
36005016600,138.0,243.0,382.0,487.0,543.0
36005016700,128.0,160.0,385.0,430.0,545.0
36005016900,128.0,160.0,291.0,430.0,545.0
36005017100,128.0,160.0,385.0,411.0,545.0
36005017300,127.0,173.0,290.0,411.0,545.0
36005017500,127.0,173.0,290.0,411.0,545.0
36005017701,128.0,173.0,290.0,411.0,545.0
36005017702,128.0,160.0,291.0,430.0,545.0
36005017901,128.0,173.0,290.0,411.0,545.0
36005017902,128.0,160.0,291.0,411.0,545.0
36005018101,127.0,173.0,290.0,411.0,545.0
36005018102,127.0,173.0,290.0,411.0,545.0
36005018301,127.0,173.0,290.0,411.0,545.0
36005018302,127.0,173.0,290.0,411.0,545.0
36005018400,138.0,243.0,382.0,487.0,546.0
36005018501,127.0,173.0,290.0,430.0,545.0
36005018502,127.0,173.0,290.0,430.0,545.0
36005018900,127.0,173.0,292.0,411.0,545.0
36005019300,127.0,173.0,292.0,411.0,545.0
36005019400,138.0,243.0,382.0,487.0,543.0
36005019500,127.0,173.0,290.0,411.0,545.0
36005019700,128.0,173.0,290.0,411.0,545.0
36005019900,128.0,173.0,292.0,411.0,545.0
36005020000,138.0,243.0,382.0,487.0,546.0
36005020100,128.0,173.0,292.0,411.0,545.0
36005020200,138.0,243.0,382.0,487.0,543.0
36005020400,138.0,243.0,382.0,487.0,546.0
36005020501,128.0,160.0,385.0,411.0,545.0
36005020502,128.0,160.0,385.0,430.0,545.0
36005020601,138.0,243.0,382.0,487.0,543.0
36005020900,128.0,160.0,291.0,411.0,545.0
36005021001,128.0,160.0,382.0,487.0,546.0
36005021002,138.0,160.0,382.0,487.0,546.0
36005021100,128.0,160.0,292.0,411.0,545.0
36005021200,138.0,243.0,382.0,487.0,543.0
36005021301,128.0,160.0,385.0,411.0,545.0
36005021302,128.0,160.0,291.0,411.0,545.0
36005021501,128.0,160.0,385.0,430.0,545.0
36005021502,128.0,160.0,385.0,411.0,545.0
36005021601,128.0,160.0,382.0,430.0,543.0
36005021602,128.0,160.0,382.0,487.0,543.0
36005021700,128.0,160.0,385.0,430.0,545.0
36005021800,128.0,160.0,382.0,430.0,543.0
36005021900,128.0,160.0,291.0,411.0,545.0
36005022000,128.0,243.0,382.0,430.0,543.0
36005022101,128.0,160.0,291.0,411.0,545.0
36005022102,128.0,160.0,291.0,411.0,545.0
36005022200,138.0,243.0,382.0,487.0,543.0
36005022300,128.0,160.0,291.0,411.0,545.0
36005022401,121.0,243.0,382.0,430.0,546.0
36005022403,121.0,243.0,382.0,487.0,546.0
36005022404,121.0,243.0,382.0,430.0,546.0
36005022500,128.0,160.0,291.0,411.0,545.0
36005022701,128.0,160.0,385.0,430.0,545.0
36005022702,128.0,160.0,385.0,430.0,545.0
36005022703,128.0,160.0,385.0,430.0,545.0
36005022800,121.0,243.0,382.0,430.0,546.0
36005022901,128.0,160.0,385.0,430.0,545.0
36005022902,128.0,160.0,385.0,430.0,545.0
36005023000,121.0,243.0,382.0,430.0,546.0
36005023100,128.0,160.0,385.0,430.0,545.0
36005023200,128.0,243.0,382.0,430.0,546.0
36005023301,128.0,160.0,385.0,430.0,545.0
36005023302,128.0,160.0,385.0,430.0,545.0
36005023501,128.0,160.0,385.0,430.0,545.0
36005023502,128.0,160.0,385.0,430.0,545.0
36005023600,128.0,243.0,382.0,430.0,543.0
36005023702,128.0,160.0,385.0,430.0,546.0
36005023703,128.0,160.0,385.0,430.0,546.0
36005023704,128.0,160.0,385.0,430.0,545.0
36005023800,128.0,243.0,382.0,487.0,546.0
36005023900,128.0,160.0,385.0,430.0,546.0
