GEOID,District0
36001000100,141.0
36001000201,141.0
36001000202,141.0
36001000301,141.0
36001000302,141.0
36001000401,141.0
36001000403,141.0
36001000404,141.0
36001000501,141.0
36001000502,141.0
36001000600,141.0
36001000700,141.0
36001000800,141.0
36001001100,141.0
36001001400,141.0
36001001500,141.0
36001001600,141.0
36001001700,141.0
36001001802,141.0
36001001803,141.0
36001001804,141.0
36001001901,141.0
36001001902,141.0
36001002000,141.0
36001002100,141.0
36001002200,141.0
36001002300,141.0
36001002500,141.0
36001002600,141.0
36001012700,141.0
36001012800,141.0
36001012900,141.0
36001013000,141.0
36001013100,141.0
36001013200,141.0
36001013300,141.0
36001013400,141.0
36001013503,141.0
36001013505,141.0
36001013507,141.0
36001013509,141.0
36001013510,141.0
36001013511,141.0
36001013512,141.0
36001013602,141.0
36001013603,141.0
36001013604,141.0
36001013703,141.0
36001013706,141.0
36001013707,141.0
36001013708,141.0
36001013709,141.0
36001013802,141.0
36001013803,141.0
36001013804,141.0
36001013901,141.0
36001013902,141.0
36001014001,141.0
36001014002,141.0
36001014100,141.0
36001014201,141.0
36001014202,141.0
36001014203,141.0
36001014301,141.0
36001014303,141.0
36001014304,141.0
36001014401,141.0
36001014402,141.0
36001014501,141.0
36001014502,141.0
36001014503,141.0
36001014606,141.0
36001014608,141.0
36001014609,141.0
36001014611,141.0
36001014612,141.0
36001014613,141.0
36001014614,141.0
36001014615,141.0
36001014616,141.0
36001014617,141.0
36001014700,141.0
36001014801,141.0
36001014802,141.0
36001014803,141.0
36003940200,146.0
36003950100,138.0
36003950300,146.0
36003950401,146.0
36003950402,146.0
36003950500,146.0
36003950600,146.0
36003950700,146.0
36003950800,138.0
36003950900,138.0
36003951000,146.0
36003951100,146.0
36003951201,146.0
36003951202,146.0
36003951301,146.0
36003951302,138.0
36005000100,21.0
36005000200,21.0
36005000400,21.0
36005001600,21.0
36005001901,21.0
36005001902,21.0
36005001903,21.0
36005001904,21.0
36005002001,21.0
36005002002,21.0
36005002300,21.0
36005002400,21.0
36005002500,21.0
36005002701,21.0
36005002702,21.0
36005002800,21.0
36005003100,21.0
36005003300,21.0
36005003500,21.0
36005003700,21.0
36005003800,21.0
36005003900,21.0
36005004001,21.0
36005004100,21.0
36005004200,21.0
36005004300,21.0
36005004400,21.0
36005004600,21.0
36005004800,21.0
36005005001,21.0
36005005002,21.0
36005005100,21.0
36005005200,21.0
36005005300,0.0
36005005400,21.0
36005005600,21.0
36005005902,21.0
36005006000,21.0
36005006100,21.0
36005006200,21.0
36005006301,21.0
36005006302,0.0
36005006400,21.0
36005006500,21.0
36005006700,21.0
36005006800,21.0
36005006900,21.0
36005007000,21.0
36005007100,21.0
36005007200,21.0
36005007300,21.0
36005007400,21.0
36005007500,21.0
36005007600,21.0
36005007700,21.0
36005007800,21.0
36005007900,21.0
36005008300,21.0
36005008400,21.0
36005008500,21.0
36005008600,21.0
36005008700,21.0
36005008900,21.0
36005009000,21.0
36005009200,21.0
36005009301,21.0
36005009302,21.0
36005009600,21.0
36005009800,21.0
36005011000,21.0
36005011502,21.0
36005011701,21.0
36005011702,21.0
36005011800,49.0
36005011900,21.0
36005012101,21.0
36005012102,21.0
36005012300,21.0
36005012500,21.0
36005012701,21.0
36005012901,21.0
36005013000,49.0
36005013100,21.0
36005013200,49.0
36005013300,21.0
36005013500,21.0
36005013800,114.0
36005014100,21.0
36005014300,21.0
36005014400,49.0
36005014500,21.0
36005014701,21.0
36005014702,21.0
36005014900,21.0
36005015100,21.0
36005015200,21.0
36005015300,21.0
36005015500,21.0
36005015700,21.0
36005015800,21.0
36005015900,21.0
36005016000,114.0
36005016100,21.0
36005016200,21.0
36005016300,0.0
36005016400,0.0
36005016500,0.0
36005016600,21.0
36005016700,0.0
36005016900,21.0
36005017100,0.0
36005017300,21.0
36005017500,21.0
36005017701,21.0
36005017702,21.0
36005017901,21.0
36005017902,21.0
36005018101,21.0
36005018102,21.0
36005018301,21.0
36005018302,21.0
36005018400,0.0
36005018501,21.0
36005018502,21.0
36005018900,21.0
36005019300,0.0
36005019400,21.0
36005019500,21.0
36005019700,21.0
36005019900,0.0
36005020000,0.0
36005020100,0.0
36005020200,21.0
36005020400,0.0
36005020501,0.0
36005020502,0.0
36005020601,21.0
36005020900,0.0
36005021001,0.0
36005021002,0.0
36005021100,0.0
36005021200,21.0
36005021301,0.0
36005021302,21.0
36005021501,0.0
36005021502,0.0
36005021601,0.0
36005021602,0.0
36005021700,0.0
36005021800,0.0
36005021900,21.0
36005022000,0.0
36005022101,21.0
36005022102,0.0
36005022200,21.0
36005022300,0.0
36005022401,0.0
36005022403,0.0
36005022404,0.0
36005022500,0.0
36005022701,0.0
36005022702,0.0
36005022703,0.0
36005022800,0.0
36005022901,0.0
36005022902,0.0
36005023000,0.0
36005023100,0.0
36005023200,0.0
36005023301,0.0
36005023302,0.0
36005023501,0.0
36005023502,0.0
36005023600,0.0
36005023702,0.0
36005023703,0.0
36005023704,0.0
36005023800,0.0
36005023900,0.0
36005024000,0.0
36005024100,0.0
36005024300,0.0
36005024400,0.0
36005024501,0.0
36005024502,0.0
36005024600,0.0
36005024700,0.0
36005024800,0.0
36005024900,0.0
36005025000,0.0
36005025100,0.0
36005025200,0.0
36005025300,0.0
36005025400,0.0
36005025500,0.0
36005025600,0.0
36005025700,0.0
36005026100,0.0
36005026300,0.0
36005026400,0.0
36005026500,0.0
36005026601,0.0
36005026602,0.0
36005026701,0.0
36005026702,114.0
36005026900,0.0
36005027300,114.0
36005027401,0.0
36005027402,0.0
36005027600,0.0
36005027700,114.0
36005027900,114.0
